id_produtor,id_laticinio,id_rota,polo_climatico,dias_observados,data_ultima,litros_coletados_total,litros_coletados_media,litros_previstos_total,litros_descartados_total,ccs_media,cbt_media,reprovacoes,falhas_coleta,antibiotico,churn_eventos,risco_queda_pct,score_sanidade,score_manejo,custo_logistico_medio,margem_estimada_media,taxa_descarte_pct,taxa_reprovacao_pct,taxa_falha_pct,risco_antibiotico_pct,risco_churn_pct,tendencia_volume_pct,municipio,tipo_sistema,nivel_tecnificacao,raca_predominante,porte_produtor,vacas_lactacao,distancia_km_laticinio,prob_churn_base,previsto_7d,realizado_7d,erro_abs_predicao,score_volume,score_qualidade,score_logistica,score_continuidade,score_risco_fornecedor,classe_risco,recomendacao,cv_producao,dias_serie,perfil,perfil_confianca,recomendacao_combinada
16,2,16,JATAI,1826,2025-12-31,2661379.08,1457.4912814895947,2712816.06,50943.69,505.32869660460017,149.97716319824752,0,2,2,0,1.8072289156626504,0.415,0.4570000000000001,0.8467907995618839,0.481829134720701,1.8778895757495626,0.0,0.10952902519167579,0.10952902519167579,0.0,-7.093570821512783,Perolândia,SEMI_CONFINADO,BAIXO,GIROLANDO,GRANDE,137,63.48,0.000444,,,,58.0,51.4,36.0,38.5,48.7,Baixo,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.09757919232880281,1826,Oscilante,0.7,"[ATENÇÃO · Score 49] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
28,1,7,RIO_VERDE,1826,2025-12-31,729875.75,399.7128970427163,744490.28,14268.1,419.9500273822563,90.95364731653888,2,3,4,0,10.514786418400876,0.782,0.753,0.8260268893756846,0.6623581051478641,1.9164924490350632,0.10952902519167579,0.16429353778751368,0.21905805038335158,0.0,1.9534759915610533,Montividiu,PASTO,MEDIO,HOLANDESA,PEQUENO,30,97.6,0.000355,,,,57.8,54.4,51.6,10.2,48.4,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.20241469219367703,1826,Oscilante,0.85,"[ATENÇÃO · Score 48] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
1,1,6,RIO_VERDE,1826,2025-12-31,852706.69,466.98066265060237,869576.88,16787.03,411.50877327491787,176.69041073384446,2,1,0,1,10.679079956188389,0.444,0.408,0.5683683461117196,0.4763645125958379,1.930482558367927,0.10952902519167579,0.054764512595837894,0.0,0.054764512595837894,-2.1138785702704466,Rio Verde,PASTO,BAIXO,GIROLANDO,MEDIO,56,16.85,0.001448,,,,74.7,44.6,1.3,57.1,48.3,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.18866331495580668,1826,Oscilante,0.85,"[ATENÇÃO · Score 48] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
2,2,15,RIO_VERDE,1826,2025-12-31,282805.47,154.87703723986854,289826.95,6950.8,230.77308324205916,77.09918948521359,4,5,0,4,7.338444687842278,0.98,0.9259999999999999,0.7053056407447974,0.8006319824753559,2.3982586850532708,0.21905805038335158,0.2738225629791895,0.0,0.21905805038335158,-1.9513916813435104,Santo Antônio da Barra,PASTO,ALTO,MISTA,PEQUENO,12,71.35,0.001073,,,,60.6,20.0,61.2,55.0,47.7,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.1910437499044026,1826,Oscilante,0.85,"[ATENÇÃO · Score 48] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
20,2,14,RIO_VERDE,1826,2025-12-31,2289482.99,1253.8242004381161,2335256.76,45278.75,269.10751369112813,71.52766155531215,2,0,1,3,12.212486308871851,0.633,0.725,0.8828221248630888,0.7207698247535598,1.9389195558950016,0.10952902519167579,0.0,0.054764512595837894,0.16429353778751368,-0.8949201042060065,Santo Antônio da Barra,PASTO,MEDIO,MISTA,GRANDE,134,65.07,0.001156,,,,76.0,20.0,26.6,54.2,46.0,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.1660949508159215,1826,Oscilante,0.85,"[ATENÇÃO · Score 46] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
23,4,35,JATAI,1826,2025-12-31,1385781.61,758.9165443592552,1413216.12,27434.24,230.24656078860897,129.2396604600219,0,1,0,3,5.859802847754655,0.757,0.747,0.9486926615553121,0.6961163198247536,1.9412628834151708,0.0,0.054764512595837894,0.0,0.16429353778751368,-6.8356614600066035,Perolândia,PASTO,MEDIO,GIROLANDO,MEDIO,64,83.9,0.001356,,,,74.2,7.9,35.2,58.1,44.1,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.09939218358653082,1826,Consistente,0.9,[ATENÇÃO · Score 44] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
11,3,29,RIO_VERDE,1826,2025-12-31,1031696.76,565.0037020810515,1051939.42,19718.22,288.2722398685652,126.61227820372397,0,2,5,5,1.3691128148959473,0.7109999999999999,0.612,1.2687085432639649,0.6300159364731654,1.874463455319509,0.0,0.10952902519167579,0.2738225629791895,0.2738225629791895,1.5827757718388207,Rio Verde,SEMI_CONFINADO,MEDIO,MISTA,PEQUENO,35,166.03,0.001308,,,,22.4,38.0,67.1,70.2,43.2,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.09742846267954132,1826,Consistente,0.9,[ATENÇÃO · Score 43] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
3,2,13,MINEIROS,1826,2025-12-31,473783.2,259.46506024096385,483755.46,9885.49,255.375421686747,143.14293537787515,2,3,1,4,7.612267250821468,0.821,0.7219999999999999,0.5375021905805039,0.6678664841182914,2.043489080205937,0.10952902519167579,0.16429353778751368,0.054764512595837894,0.21905805038335158,-0.27273585573681397,Mineiros,PASTO,MEDIO,GIROLANDO,PEQUENO,25,36.88,0.000818,,,,55.0,29.1,24.2,64.3,42.5,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.1457401017133994,1826,Consistente,0.9,[ATENÇÃO · Score 42] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
6,2,13,MINEIROS,1826,2025-12-31,346277.09,189.63696056955095,353582.41,7219.74,427.036708652793,153.75853778751372,1,6,2,3,1.6976998904709748,0.302,0.384,0.7363064622124863,0.4808130887185104,2.041883248660475,0.054764512595837894,0.32858707557502737,0.10952902519167579,0.16429353778751368,7.5514829960342835,Portelândia,SEMI_CONFINADO,BAIXO,MISTA,PEQUENO,19,81.06,0.000639,,,,2.5,49.4,64.9,91.9,42.5,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.08404959657099963,1826,Consistente,0.9,[ATENÇÃO · Score 42] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
24,4,30,SUDESTE_SUL_GOIANO,1826,2025-12-31,3788767.8,2074.9002190580504,3864412.46,74407.22,502.1253012048193,220.17544359255203,2,2,2,1,2.245345016429354,0.485,0.432,0.7517493975903615,0.4181446330777656,1.9254471609896424,0.10952902519167579,0.10952902519167579,0.10952902519167579,0.054764512595837894,4.843160837342366,Piracanjuba,SEMI_CONFINADO,BAIXO,HOLANDESA,GRANDE,176,38.41,0.0003,,,,12.9,74.3,25.5,62.7,41.3,Baixo,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.10952889579222883,1826,Oscilante,0.7,"[ATENÇÃO · Score 41] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
18,1,4,RIO_VERDE,1826,2025-12-31,1069702.45,585.8173329682365,1090958.77,20816.76,505.96312705366927,136.59230010952902,0,1,4,1,1.9167579408543263,0.382,0.416,0.5681724534501643,0.4782693866374589,1.9081161059826304,0.0,0.054764512595837894,0.21905805038335158,0.054764512595837894,-1.5068953570150274,Rio Verde,SEMI_CONFINADO,BAIXO,MISTA,MEDIO,48,45.91,7.5e-05,,,,37.0,61.5,4.1,56.8,40.7,Baixo,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.08721312483940834,1826,Oscilante,0.7,"[ATENÇÃO · Score 41] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
22,4,34,SUDESTE_SUL_GOIANO,1826,2025-12-31,881944.75,482.99274370208104,900214.15,17817.98,469.1023603504929,150.5190361445783,3,2,3,0,6.133625410733845,0.347,0.443,0.781123986856517,0.4893170317634173,1.9793045910242577,0.16429353778751368,0.10952902519167579,0.16429353778751368,0.0,10.392586554779095,Piracanjuba,PASTO,BAIXO,GIROLANDO,MEDIO,52,67.86,8.9e-05,,,,20.4,69.2,32.6,37.3,40.0,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.14676570727562321,1826,Consistente,0.9,[ESTÁVEL · Score 40] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
10,4,33,SUDESTE_SUL_GOIANO,1826,2025-12-31,502219.36,275.03798466593645,512093.96,9722.62,384.29905805038334,198.99633625410735,5,1,0,1,6.2979189485213585,0.454,0.505,0.8069140744797371,0.50174852135816,1.8986007958383264,0.2738225629791895,0.054764512595837894,0.0,0.054764512595837894,6.041689058322125,Morrinhos,PASTO,BAIXO,MISTA,PEQUENO,37,81.57,0.001291,,,,24.4,56.1,25.6,53.1,38.5,Baixo,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.14316180085017444,1826,Consistente,0.9,[ESTÁVEL · Score 38] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
30,2,11,RIO_VERDE,1826,2025-12-31,1415458.09,775.1687239868565,1443606.08,27691.78,183.26653888280396,64.12579956188391,2,3,2,1,0.0,0.947,0.915,0.8570743702081052,0.8235504928806134,1.9182365870889098,0.10952902519167579,0.16429353778751368,0.10952902519167579,0.054764512595837894,3.153384534648179,Rio Verde,CONFINADO,ALTO,MISTA,PEQUENO,26,64.63,0.000859,,,,14.9,22.5,47.9,17.7,24.2,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.06085017858969433,1826,Consistente,0.9,[ESTÁVEL · Score 24] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
25,3,23,SUDESTE_SUL_GOIANO,1826,2025-12-31,545730.47,298.8666319824753,556120.34,10282.4,231.78209748083242,121.33876779846659,2,0,1,0,6.681270536692223,0.6419999999999999,0.621,0.5761849945235487,0.6583341730558597,1.8489523328709754,0.10952902519167579,0.0,0.054764512595837894,0.0,3.2966419398580276,Itumbiara,PASTO,MEDIO,HOLANDESA,PEQUENO,28,78.65,0.000677,,,,37.0,22.6,9.2,10.8,23.2,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.15693685161065257,1826,Oscilante,0.85,"[ESTÁVEL · Score 23] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
12,3,21,JATAI,1826,2025-12-31,1089363.11,596.5843975903615,1112005.36,22528.59,296.3602026286966,124.97399780941949,0,4,1,2,0.16429353778751368,0.616,0.564,0.5792645673603505,0.6127905257393209,2.025942572794793,0.0,0.21905805038335158,0.054764512595837894,0.10952902519167579,6.440216948331572,Perolândia,SEMI_CONFINADO,MEDIO,GIROLANDO,PEQUENO,37,68.73,0.00147,,,,1.8,19.7,41.7,53.4,22.9,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.06415919870610383,1826,Consistente,0.9,[ESTÁVEL · Score 23] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
15,1,8,MINEIROS,1826,2025-12-31,930870.81,509.7868619934283,950937.14,19798.65,255.76707557502738,124.21435377875137,2,4,2,0,1.1500547645125958,0.728,0.754,0.5836307776560787,0.6942170865279299,2.0820145903650373,0.10952902519167579,0.21905805038335158,0.10952902519167579,0.0,3.706603566476125,Portelândia,SEMI_CONFINADO,MEDIO,MISTA,PEQUENO,29,31.6,0.000944,,,,13.0,31.8,35.5,5.2,22.0,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.06849377751350649,1826,Consistente,0.9,[ESTÁVEL · Score 22] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
4,1,4,RIO_VERDE,1826,2025-12-31,1528476.38,837.0626396495071,1558489.48,29779.33,278.26323110624315,88.65954545454545,1,3,1,0,1.7524644030668126,0.797,0.764,0.4984117196056955,0.7183544906900329,1.9107815857698316,0.054764512595837894,0.16429353778751368,0.054764512595837894,0.0,-0.9562544617746397,Montividiu,SEMI_CONFINADO,ALTO,HOLANDESA,PEQUENO,38,30.42,0.000621,,,,34.1,16.1,23.1,1.4,21.6,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.09652085572497571,1826,Consistente,0.9,[ESTÁVEL · Score 22] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
17,4,41,JATAI,1826,2025-12-31,2577114.7,1411.34430449069,2628419.28,50632.22,233.28375684556408,89.13606790799561,3,1,1,0,4.545454545454546,0.946,0.908,0.8108896495071194,0.7836047097480833,1.9263372622955348,0.16429353778751368,0.054764512595837894,0.054764512595837894,0.0,2.4389358699865253,Jataí,PASTO,ALTO,HOLANDESA,MEDIO,118,35.53,0.000171,,,,31.8,21.7,17.9,0.0,21.2,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.10389017358631585,1826,Consistente,0.9,[ESTÁVEL · Score 21] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
27,2,19,SUDESTE_SUL_GOIANO,1826,2025-12-31,2262270.99,1238.9216812705367,2315054.2,52250.8,287.8461117196057,111.48346659364732,2,5,1,0,0.3833515881708653,0.684,0.725,0.7271283132530121,0.6826665936473165,2.2570011535799033,0.10952902519167579,0.2738225629791895,0.054764512595837894,0.0,6.804494226426634,Morrinhos,SEMI_CONFINADO,MEDIO,GIROLANDO,MEDIO,92,26.81,0.00121,,,,0.3,26.3,55.4,7.0,20.1,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.06833657872374567,1826,Consistente,0.9,[ESTÁVEL · Score 20] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
